Stock_ID,Date,Open,High,Low,Close,Adj Close,Volume,Entity,Code,New Cases,Case Fatality,New Deaths,SMA 30,SMA 90,Signal,Position,Buy,Sell,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,ADX30,ADX14,14high,14low,%K,%D,gain,loss,avg_gain,avg_loss,rs,rsi
15,2019-01-24,320.6000061035156,331.79998779296875,319.0,326.6700134277344,326.6700134277344,11131600,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,338.7250061035156,0.0,0.0,0.0,364.9700012207031,93.65064388648739,84.170451098957,358.8500061035156,278.5400085449219,59.930278104786524,,4.68,0.0,6.551734693877551,2.613928571428571,2.5064704389748798,71.48129387075765
16,2019-01-25,328.7200012207031,340.0,328.510009765625,338.04998779296875,338.04998779296875,11152900,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,338.7250061035156,0.0,0.0,0.0,362.8699951171875,92.10749730738844,80.86093601736965,358.8500061035156,301.6499938964844,63.63633938527367,,11.38,0.0,6.896610787172011,2.427219387755102,2.841362763483272,73.96757188604548
17,2019-01-28,334.70001220703125,336.29998779296875,328.8800048828125,335.6600036621094,335.6600036621094,8652100,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,338.7250061035156,0.0,0.0,0.0,358.1000061035156,90.6157889475928,77.78781487018139,358.8500061035156,308.010009765625,54.386301904347434,,0.0,2.39,6.4039957309454385,2.424560860058309,2.641301291480646,72.53729038188503
18,2019-01-29,335.8699951171875,338.2200012207031,328.1499938964844,328.8999938964844,328.8999938964844,7655200,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,338.7250061035156,0.0,0.0,0.0,357.32000732421875,89.20911059662507,75.06371579380989,358.8500061035156,312.5,35.38293794364882,,0.0,6.76,5.946567464449336,2.734235084339858,2.1748559582560727,68.50250804608807
19,2019-01-30,332.75,341.7799987792969,330.79998779296875,340.6600036621094,340.6600036621094,9234500,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,337.19500732421875,0.0,0.0,0.0,351.0400085449219,87.9132140476967,72.7714437059035,358.8500061035156,312.5,60.755123956657805,57.44434611661364,11.76,0.0,6.361812645560098,2.5389325783155825,2.505703656684239,71.47505613906284
20,2019-01-31,339.67999267578125,345.989990234375,338.0899963378906,339.5,339.5,8535500,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,335.8000030517578,0.0,0.0,0.0,354.29998779296875,86.73250094737986,70.90972194223636,358.8500061035156,318.6000061035156,51.925450674495345,55.28258305415818,0.0,1.16,5.90739745659152,2.4404373941501833,2.4206306093947605,70.76562440698798
21,2019-02-01,337.17999267578125,346.8399963378906,336.5,339.8500061035156,339.8500061035156,9827800,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,332.7200012207031,0.0,0.0,0.0,359.6099853515625,85.50623714576389,68.90905050708854,358.8500061035156,318.6000061035156,52.79503105590062,54.11592328930146,0.35,0.0,5.510440495406411,2.26612043742517,2.43166267970626,70.8596067465
22,2019-02-04,342.6000061035156,352.0,341.29998779296875,351.3399963378906,351.3399963378906,9051400,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,335.3000030517578,0.0,0.0,0.0,352.6000061035156,84.40944863440114,67.39042091836997,358.8500061035156,318.6000061035156,81.34159064440993,57.174682223533374,11.49,0.0,5.937551888591668,2.104254691894801,2.821688796257419,73.83355753667593
23,2019-02-05,353.20001220703125,360.0,352.8999938964844,355.80999755859375,355.80999755859375,9046600,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,339.5,0.0,0.0,0.0,349.6000061035156,83.47321456937183,66.43613063600064,360.0,318.6000061035156,89.87921966393802,60.92366512048542,4.47,0.0,5.832726753692263,1.9539507853308868,2.9850939939127152,74.90648899304475
24,2019-02-06,357.0,357.0400085449219,347.19000244140625,352.19000244140625,352.19000244140625,6717700,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,344.0749969482422,0.0,0.0,0.0,358.8599853515625,82.28277477398892,64.6073726674886,360.0,318.6000061035156,81.13526881641168,64.74494610792318,0.0,3.62,5.416103414142817,2.072954300664395,2.612746172169315,72.32022532600072
