Date,Open,High,Low,Close,Adj Close,Volume
1/2/2019,259.279999,269.75,256.579987,267.660004,267.660004,11679500
1/3/2019,270.200012,275.790009,264.429993,271.200012,271.200012,14969600
1/4/2019,281.880005,297.799988,278.540009,297.570007,297.570007,19330100
1/7/2019,302.100006,316.799988,301.649994,315.339996,315.339996,18620100
1/8/2019,319.980011,320.589996,308.01001,320.269989,320.269989,15359200
1/9/2019,317.709991,323.350006,313.5,319.959991,319.959991,13343200
1/10/2019,314.570007,325.369995,312.5,324.660004,324.660004,13472500
1/11/2019,330.959991,341.089996,328.519989,337.589996,337.589996,19500400
1/14/2019,334.23999,335.480011,329.130005,332.940002,332.940002,10499600
1/15/2019,349.600006,357.220001,347,354.640015,354.640015,21181200
1/16/2019,354,358.850006,348.109985,351.390015,351.390015,15385500
1/17/2019,349.5,355.790009,346.410004,353.190002,353.190002,18871200
1/18/2019,351.970001,353,336.730011,339.100006,339.100006,26621000
1/22/2019,334.890015,336.880005,321.029999,325.160004,325.160004,17941400
1/23/2019,328.25,331.75,318.600006,321.98999,321.98999,13480100
1/24/2019,320.600006,331.799988,319,326.670013,326.670013,11131600
1/25/2019,328.720001,340,328.51001,338.049988,338.049988,11152900
1/28/2019,334.700012,336.299988,328.880005,335.660004,335.660004,8652100
1/29/2019,335.869995,338.220001,328.149994,328.899994,328.899994,7655200
1/30/2019,332.75,341.779999,330.799988,340.660004,340.660004,9234500
1/31/2019,339.679993,345.98999,338.089996,339.5,339.5,8535500
2/1/2019,337.179993,346.839996,336.5,339.850006,339.850006,9827800
2/4/2019,342.600006,352,341.299988,351.339996,351.339996,9051400
2/5/2019,353.200012,360,352.899994,355.809998,355.809998,9046600
2/6/2019,357,357.040009,347.190002,352.190002,352.190002,6717700
2/7/2019,347.899994,348.75,339.019989,344.709991,344.709991,7864500
2/8/2019,338,348,338,347.570007,347.570007,7561400
2/11/2019,350,352.869995,344.809998,345.730011,345.730011,5454900
2/12/2019,348.089996,360,346.519989,359.970001,359.970001,10429400
2/13/2019,357.299988,359.600006,350.279999,351.769989,351.769989,10559100
2/14/2019,351.75,360.450012,348.329987,359.070007,359.070007,9295300
2/15/2019,358.470001,364.399994,355.5,356.869995,356.869995,9230000
2/19/2019,355.799988,365,355.320007,361.920013,361.920013,7396600
2/20/2019,364.850006,366.709991,356.700012,359.910004,359.910004,8110700
2/21/2019,360.029999,362.850006,353.880005,356.970001,356.970001,6227900
2/22/2019,360.339996,366.130005,360.049988,363.019989,363.019989,7088200
2/25/2019,367.01001,371.48999,363.790009,363.910004,363.910004,7569300
2/26/2019,362.980011,365.700012,359.329987,364.970001,364.970001,4944600
2/27/2019,363.5,368.029999,359.799988,362.869995,362.869995,5629900
2/28/2019,362.470001,366.390015,357.709991,358.100006,358.100006,6186800
3/1/2019,362.26001,362.869995,354.690002,357.320007,357.320007,5526500
3/4/2019,359.720001,362.25,348.040009,351.040009,351.040009,7487000
3/5/2019,351.459991,356.170013,348.25,354.299988,354.299988,5937800
3/6/2019,353.600006,359.880005,351.700012,359.609985,359.609985,6211900
3/7/2019,360.160004,362.859985,350.5,352.600006,352.600006,6151300
3/8/2019,345.75,349.920013,342.470001,349.600006,349.600006,6898800
3/11/2019,352,358.980011,350.029999,358.859985,358.859985,5387300
3/12/2019,359.369995,360.130005,353.799988,356.269989,356.269989,5164600
3/13/2019,355.809998,362.480011,352.769989,361.209991,361.209991,6444100
3/14/2019,360.5,363.839996,358.100006,358.820007,358.820007,5271400
3/15/2019,361.019989,364,358.890015,361.459991,361.459991,8444500
3/18/2019,362.470001,370.970001,361.859985,363.440002,363.440002,7194700
3/19/2019,366.399994,366.959991,356.799988,358.779999,358.779999,7541400
3/20/2019,358.910004,375.899994,357.01001,375.220001,375.220001,10917200
3/21/2019,374,379,370.609985,377.869995,377.869995,8544000
3/22/2019,375.950012,376.429993,360.040009,361.01001,361.01001,8661300
3/25/2019,359,367.040009,357.440002,366.230011,366.230011,8473800
3/26/2019,367.869995,368.380005,358.019989,359.970001,359.970001,7666500
3/27/2019,361,362.470001,350.369995,353.369995,353.369995,7852400
3/28/2019,354.48999,355.940002,349.200012,354.609985,354.609985,4361000
3/29/2019,357.160004,358.25,353.709991,356.559998,356.559998,4705600
4/1/2019,359,368.329987,358.51001,366.959991,366.959991,7036100
4/2/2019,366.25,368.420013,362.220001,367.720001,367.720001,5158700
4/3/2019,369.26001,373.410004,366.190002,369.75,369.75,5368900
4/4/2019,370.070007,372.049988,362.399994,367.880005,367.880005,4627300
4/5/2019,369,369.799988,364.660004,365.48999,365.48999,3905500
4/8/2019,365.109985,365.940002,359.929993,361.410004,361.410004,4653800
4/9/2019,360.540009,366.73999,359,364.709991,364.709991,5439200
4/10/2019,365.790009,368.850006,362.25,363.920013,363.920013,4545600
4/11/2019,365,370.119995,360.809998,367.649994,367.649994,6526900
